author_tweet,username,name,created_at,text,likes,retweets
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",j1tensha,hikkiii,Sun Oct 26 00:17:47 +0000 2025,"@aniesbaswedan pak, sudah saya vote kemarin, tapi kok ga debut?😭",3908,439
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",sound_of_miaww,Miọ^᪲᪲᪲ ⋆ 🍉🌸ྀི,Sun Oct 26 01:17:54 +0000 2025,"@aniesbaswedan Full name: park ahn nice
Stage name: aju nice
Fandom name: anak abah",1802,122
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",Manggissblue,Manggiss,Sun Oct 26 00:39:58 +0000 2025,"@aniesbaswedan Heol, apakah peserta ini yang sering mendapat evil editing, manipulasi voting, bahkan banyak cyberbullying? Produce 101 gaesaekki.",1904,152
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",saoirsoule,Nica.,Sun Oct 26 00:43:47 +0000 2025,"@aniesbaswedan Next stage tolong bawain lagu ini ya pak. 🙏

https://t.co/MRbijWQZYm",206,14
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",blaxkforest,naan ꩜ .ᐟ,Sun Oct 26 01:37:25 +0000 2025,"@aniesbaswedan pak lucu terus traumanya apa?

…kalah ama yg manipulasi voting ya?😌",212,8
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",iannisaaa_,🦉soylagooo🦉 #team55,Sun Oct 26 00:13:09 +0000 2025,@aniesbaswedan Berasa Jang Wonyoung kali ah bapak inii 😭😭🤣,851,26
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",deerhaechan,dep,Sun Oct 26 01:38:55 +0000 2025,@aniesbaswedan @nordicnor klo ikut kayaknya langganan kena evil editing sih ini wkwk,0,0
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",ayampeunyet,Nina.,Sun Oct 26 00:18:37 +0000 2025,@aniesbaswedan Ikut Produce 101 apakah termasuk sering kena evil editing pak? Maaf sekedar bertanya 🙏🏻,648,0
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",kitoorah,nov,Sun Oct 26 00:23:25 +0000 2025,"@aniesbaswedan Udah banyak yang vote, tapi kena evil editing mulu ampee gak kepilihh😭😭🙏🏻🙏🏻",743,40
"Permisi, saya baru aktif lagi di LinkedIn setahun terakhir, ini maksudnya apa ya? Saya kira saya ikut Produce 101 tadi… 🙏🏼

https://t.co/DVfpx3zwR1 https://t.co/6ZFkjpy7EF",sarinem2000,sarinem,Sun Oct 26 01:19:47 +0000 2025,"@aniesbaswedan ngerti-ngertian aja bapak sama produce 101.. siapa pak pembisiknya? 
btw, selamat debut di linkeboy pak 🎊🥇",1,0
